"EPAY_LABEL_1","Du har valgt å betale for ordren online. Rett etter at du har gjennomført din ordre skal du gjennomføre din betaling. Din ordre vil ikke være registrert hos oss før du har betalt."
"EPAY_LABEL_2","Du har valgt å betale for ordren online. Rett etter at du har gjennomført din ordre vil du bli overført til ePays betalingssystem. Her skal du gjennomføre betalingen din. Når betalingen er gjennomført, vil du automatisk bli sendt tilbake til vår forretning."
"EPAY_LABEL_3","Du kan betale med følgende betalingskort:"
"EPAY_LABEL_4","For å ferdiggjøre bestillingen din skal du nå betale for din ordre. Dette gjøres ved å betale med betalingskortet ditt."
"EPAY_LABEL_5","Betaling"
"EPAY_LABEL_6","Betalingen ble avvist med feilkode:"
"EPAY_LABEL_7","Ordrenummer"
"EPAY_LABEL_8","Beløp"
"EPAY_LABEL_9","Kortnummer"
"EPAY_LABEL_10","Utløpsmåned/utløpsår"
"EPAY_LABEL_11","Utløpsmåned"
"EPAY_LABEL_12","Utløpsår"
"EPAY_LABEL_13","Kontrollsiffer"
"EPAY_LABEL_14","Les om kontrollsiffer nedenfor"
"EPAY_LABEL_15","Ovenfor vises det hvor kontrollsiffer er lokalisert på baksiden af et dansk Dankort"
"EPAY_LABEL_16","For kort uten bilde av korteieren vises kontrollsiffer på baksiden over underskriften"
"EPAY_LABEL_17","Betal for din ordre"
"EPAY_LABEL_18","ePay betalingsinformasjoner"
"EPAY_LABEL_19","Transaksjons ID:"
"EPAY_LABEL_20","Beløp:"
"EPAY_LABEL_21","Valuta kode:"
"EPAY_LABEL_22","Betalingsdato:"
"EPAY_LABEL_23","MD5 nøkkel:"
"EPAY_LABEL_24","Svindelkontroll:"
"EPAY_LABEL_25","Abonnements ID:"
"EPAY_LABEL_26","Korttype:"
"EPAY_LABEL_27","Transaksjonsgebyr:"
"EPAY_LABEL_28","Det er ikke registrert noen betaling for denne ordre enda!"
"EPAY_LABEL_29","Gå til ePay administrasjonen og behandle betalingen"
"EPAY_LABEL_30","Dette kortet har blitt brukt %s gange(r) de siste 24 timer"
"EPAY_LABEL_31","Ordren er nå opprettet og betalingen skal nå skje gjennom ePay / Payment Solutions (ww.epay.dk)"
"EPAY_LABEL_32","For å ferdiggjøre bestillingen din skal du nå betale for din ordre. Dette skjer gjennom ePay / Payment Solutions."
"EPAY_LABEL_33","Hvis Standard Betalingsvinduet ikke åpnes automatisk, klikk på knappen for å aktivere det."
"EPAY_LABEL_34","Bemerk! Hvis du benytter en pop-up stopper skal du holde CTRL tasten nede mens du trykker på knappen."
