"EPAY_LABEL_1","You have chosen to pay for the order online. Once you've completed your order, you must complete your payment. Your order will not be registered with us before you paid."
"EPAY_LABEL_2","You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the ePay payment system. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop."
"EPAY_LABEL_3","You can pay with the following payment cards:"
"EPAY_LABEL_4","To complete your order, you must now pay for your order. This is done by paying with your credit card."
"EPAY_LABEL_5","Payment"
"EPAY_LABEL_6","The payment was declined with error code:"
"EPAY_LABEL_7","Order number"
"EPAY_LABEL_8","Amount"
"EPAY_LABEL_9","Cardnumber"
"EPAY_LABEL_10","Expiremonth / expireyear"
"EPAY_LABEL_11","Expiremonth"
"EPAY_LABEL_12","Expireyear"
"EPAY_LABEL_13","Card verification code"
"EPAY_LABEL_14","Read about the card verification code below"
"EPAY_LABEL_15","Above is shown where the card verification code is located at the back of a Dankort"
"EPAY_LABEL_16","For credit cards without a picture of the card holder, the card verification code is to be found on the back just above the signature"
"EPAY_LABEL_17","Pay for your order"
"EPAY_LABEL_18","Payment system transaction information"
"EPAY_LABEL_19","Transaction ID:"
"EPAY_LABEL_20","Amount:"
"EPAY_LABEL_21","Currency code:"
"EPAY_LABEL_22","Transaction date:"
"EPAY_LABEL_23","MD5 key:"
"EPAY_LABEL_24","Fraud control:"
"EPAY_LABEL_25","Subscription ID:"
"EPAY_LABEL_26","Card type:"
"EPAY_LABEL_27","Transaction fee:"
"EPAY_LABEL_28","There is not registered any payment for this order yet!"
"EPAY_LABEL_29","Go to payment system administration and process the transaction"
"EPAY_LABEL_30","This creditcard has been used %s time(s) the past 24 hours"
"EPAY_LABEL_31","The order is now placed and payment must now be made by ePay online payment system (www.epay.eu)"
"EPAY_LABEL_32","To complete your order, you must now pay online. This is done through ePay online payment system (www.epay.eu)."
"EPAY_LABEL_33","If the Standard Payment Window does not open up automatically, click the button to activate the."
"EPAY_LABEL_34","Notice! If you use a pop-up blocker, hold down the CTRL key while you press the button."
"EPAY_LABEL_35","Open the payment window"
"EPAY_LABEL_36","What is CVC"
"EPAY_LABEL_37","CVC on a Dankort"
"EPAY_LABEL_38","CVC on a MasterCard"
"EPAY_LABEL_39","Transaction fee"
"EPAY_LABEL_40","Deleted"
"EPAY_LABEL_41","Captured"
"EPAY_LABEL_42","New"
"EPAY_LABEL_43","Unknown"
